U+00FF0C	，	1331891
U+007684	的	1277063
U+003002	。	569978
U+005B66	学	372672
U+003001	、	332276
U+002022	•	317278
U+00548C	和	289334
U+004E2D	中	273833
U+005728	在	273324
U+004E3A	为	254682
U+00751F	生	228236
U+005BF9	对	219638
U+006587	文	204861
U+006027	性	200857
U+007406	理	198788
U+006709	有	198611
U+004E0E	与	196169
U+007528	用	193510
U+004E00	一	192070
U+004EBA	人	191962
U+005316	化	190268
U+005206	分	183185
U+00662F	是	180279
U+0053D1	发	173858
U+004EE5	以	172832
U+0080FD	能	172387
U+004E0D	不	163910
U+006570	数	163326
U+004E86	了	163121
U+004E8E	于	160025
U+004F5C	作	159609
U+00884C	行	156424
U+004E1A	业	153729
U+006559	教	152289
U+008FDB	进	146544
U+004F53	体	142916
U+006CD5	法	138017
U+0065B9	方	137691
U+0051FA	出	136506
U+008981	要	136004
U+007814	研	130385
U+005408	合	130026
U+005927	大	129769
U+005B9E	实	128935
U+0053EF	可	126807
U+0073B0	现	126419
U+008005	者	124946
U+005EA6	度	124148
U+005173	关	122155
U+00201C	“	121259
U+00201D	”	121186
U+0052A8	动	119332
U+009AD8	高	119111
U+0065F6	时	119027
U+007A76	究	117443
U+008FC7	过	116373
U+005C55	展	116012
U+006210	成	113168
U+0063D0	提	112067
U+007B49	等	110941
U+0056FD	国	110637
U+0065B0	新	110282
U+00529B	力	109555
U+0091CF	量	108543
U+004F1A	会	108474
U+007A0B	程	107500
U+005E94	应	106836
U+00540C	同	104548
U+004E2A	个	104349
U+00793E	社	102514
U+005176	其	101925
U+00901A	通	100710
U+004EA7	产	98348
U+005730	地	97844
U+005B9A	定	95453
U+00672C	本	95322
U+004E0A	上	93345
U+0025A1	□	93227
U+007ECF	经	92507
U+007CFB	系	91094
U+00FF1B	；	90284
U+008868	表	89623
U+009762	面	89616
U+0079D1	科	89167
U+00671F	期	87823
U+007ED3	结	87417
U+004E3B	主	86884
U+005236	制	86810
U+008FD9	这	85816
U+0091CD	重	85352
U+005E74	年	85047
U+0076F8	相	84949
U+005F0F	式	83906
U+00800C	而	83867
U+006548	效	83520
